Factor,IV
ICU,0.0027968091772883844
trends_mask,0.3426166805669588
trends_face_mask,0.49586018817131644
trends_covid_19,2.5654593692990018
trends_coronavirus,0.1823370915096279
trends_sanitizer,0.6477563923904309
air_avg,0.14273057110907547
