Bads,Count,Goods,Distribution_of_Count,Distribution_of_Goods,Distribution_of_Bads,Odds,Goods_divide_Bads,WOE
194,2758,2564,0.6253968253968254,0.8515443374294255,0.13867047891350964,13.216494845360824,6.140775917854466,1.8149511051609801
918,1220,302,0.2766439909297052,0.10029890401859848,0.6561829878484632,0.3289760348583878,0.15285203346625192,-1.8782849270618733
287,432,145,0.09795918367346938,0.04815675855197609,0.20514653323802717,0.5052264808362369,0.23474322374290782,-1.4492630271552993
