Air_state,Air_date,Air_value
DE,2020/1/5,29.5
FL,2020/1/5,33.7
GA,2020/1/5,27.4
HI,2020/1/5,25.3
IA,2020/1/5,24.1
ID,2020/1/5,23.2
IL,2020/1/5,32.9
IN,2020/1/5,30.4
KS,2020/1/5,29.8
KY,2020/1/5,25
LA,2020/1/5,38.6
MA,2020/1/5,34.2
MD,2020/1/5,30.7
ME,2020/1/5,14.8
MI,2020/1/5,27.4
MN,2020/1/5,20.3
MO,2020/1/5,28
MS,2020/1/5,25.8
MT,2020/1/5,26.3
NC,2020/1/5,14
ND,2020/1/5,32
NE,2020/1/5,6
NH,2020/1/5,35.3
NJ,2020/1/5,29.5
NM,2020/1/5,41.3
NV,2020/1/5,44.5
NY,2020/1/5,31
OH,2020/1/5,17.3
OK,2020/1/5,23.3
OR,2020/1/5,25.6
PA,2020/1/5,30.6
SC,2020/1/5,26.4
SD,2020/1/5,25.3
TN,2020/1/5,20
TX,2020/1/5,39
UT,2020/1/5,40.6
VA,2020/1/5,23
VT,2020/1/5,32.5
WA,2020/1/5,22
WI,2020/1/5,31.1
WV,2020/1/5,23.2
WY,2020/1/5,38.9
AK,2020/1/6,34.3
AL,2020/1/6,42.2
AR,2020/1/6,36.6
AZ,2020/1/6,40
CA,2020/1/6,43.3
CO,2020/1/6,34.4
CT,2020/1/6,31.3
DE,2020/1/6,30
FL,2020/1/6,41.3
GA,2020/1/6,37
HI,2020/1/6,29.7
IA,2020/1/6,24.9
ID,2020/1/6,29
IL,2020/1/6,24.8
IN,2020/1/6,31
KS,2020/1/6,33.8
KY,2020/1/6,20.7
LA,2020/1/6,40.7
MA,2020/1/6,38
MD,2020/1/6,36
ME,2020/1/6,29.7
MI,2020/1/6,25.3
MN,2020/1/6,13.2
MO,2020/1/6,31.5
MS,2020/1/6,28.5
MT,2020/1/6,22.6
NC,2020/1/6,19.4
ND,2020/1/6,32
NE,2020/1/6,9
NH,2020/1/6,35.3
NJ,2020/1/6,32
NM,2020/1/6,38.6
NV,2020/1/6,41
NY,2020/1/6,32.8
OH,2020/1/6,19.2
OK,2020/1/6,17.8
OR,2020/1/6,23.3
PA,2020/1/6,32.3
SC,2020/1/6,34.3
SD,2020/1/6,25
TN,2020/1/6,22.5
TX,2020/1/6,37
UT,2020/1/6,35.4
VA,2020/1/6,25.4
VT,2020/1/6,32.5
WA,2020/1/6,16.7
WI,2020/1/6,22.3
WV,2020/1/6,24.8
WY,2020/1/6,39.5
AK,2020/1/7,30
AL,2020/1/7,39.2
AR,2020/1/7,33.1
AZ,2020/1/7,38.8
CA,2020/1/7,49.1
CO,2020/1/7,32.5
CT,2020/1/7,34
DE,2020/1/7,32
FL,2020/1/7,42.4
GA,2020/1/7,30.2
HI,2020/1/7,38.3
IA,2020/1/7,21.6
ID,2020/1/7,25
IL,2020/1/7,31.9
IN,2020/1/7,34.4
KS,2020/1/7,31.8
KY,2020/1/7,20.3
LA,2020/1/7,39.3
MA,2020/1/7,34.8
MD,2020/1/7,39.3
ME,2020/1/7,37.3
MI,2020/1/7,30.8
MN,2020/1/7,15.7
MO,2020/1/7,24
MS,2020/1/7,32.8
MT,2020/1/7,24.4
NC,2020/1/7,28.3
ND,2020/1/7,31.3
NE,2020/1/7,9
NH,2020/1/7,35.7
NJ,2020/1/7,30
NM,2020/1/7,43.1
NV,2020/1/7,39.7
NY,2020/1/7,33.2
OH,2020/1/7,27.6
OK,2020/1/7,23.8
OR,2020/1/7,24.7
PA,2020/1/7,33.7
SC,2020/1/7,44.1
SD,2020/1/7,25.4
TN,2020/1/7,19.8
TX,2020/1/7,34.7
UT,2020/1/7,39.7
VA,2020/1/7,32.3
VT,2020/1/7,33.2
WA,2020/1/7,19.1
WI,2020/1/7,24.5
WV,2020/1/7,29.8
WY,2020/1/7,37.5
AK,2020/1/8,32.3
AL,2020/1/8,38.5
AR,2020/1/8,42.2
AZ,2020/1/8,44.3
CA,2020/1/8,46.1
CO,2020/1/8,36.5
CT,2020/1/8,32.3
