Province_State,confirmed,deaths,Date,ICU_Beds,Total_Population,Population_Aged_60_plus,usa_state_latitude,Mortality_Rate,Residents_Aged_60_plus_Per_Each_ICU_Bed,mask,face mask,covid-19,coronavirus,sanitizer,usa_state_code,Air_value_avg_perday
New York,0.0,0.0,2020/1/25,3952.0,1.9798228E7,4201533.0,43.299428,0.0,1063.1409412955466,15,2,0,83,0,NY,34.3
North Carolina,0.0,0.0,2020/1/25,2227.0,1.0052564E7,2115334.0,35.759573,0.0,949.8581050740908,12,2,0,86,0,NC,11.3125
North Dakota,0.0,0.0,2020/1/25,238.0,745475.0,151255.0,47.551493,0.0,635.5252100840336,11,0,0,83,6,ND,21.5
Ohio,0.0,0.0,2020/1/25,3314.0,1.1609756E7,2593757.0,40.417287,0.0,782.666566083283,13,2,0,85,0,OH,14.6
Oklahoma,0.0,0.0,2020/1/25,1064.0,3896251.0,800259.0,35.007752,0.0,752.1231203007519,13,2,0,85,0,OK,22.0
Oregon,0.0,0.0,2020/1/25,659.0,4025127.0,928932.0,43.804133,0.0,1409.608497723824,12,2,0,86,0,OR,24.23076923076923
Pennsylvania,0.0,0.0,2020/1/25,3169.0,1.2790505E7,3027054.0,41.203322,0.0,955.2079520353424,12,2,0,86,0,PA,28.217391304347824
South Carolina,0.0,0.0,2020/1/25,1225.0,4893444.0,1109892.0,33.836081,0.0,906.0342857142857,11,1,0,87,1,SC,23.75
South Dakota,0.0,0.0,2020/1/25,152.0,855444.0,186396.0,43.969515,0.0,1226.2894736842106,7,2,0,89,2,SD,28.428571428571427
Tennessee,0.0,0.0,2020/1/25,2209.0,6597381.0,1419659.0,35.517491,0.0,642.6704391127207,10,2,0,88,0,TN,19.666666666666668
Texas,0.0,0.0,2020/1/25,6199.0,2.7419612E7,4618463.0,31.968599,0.0,745.0335537989998,12,1,0,87,0,TX,33.69565217391305
Utah,0.0,0.0,2020/1/25,565.0,2993941.0,442482.0,39.32098,0.0,783.153982300885,12,1,0,87,0,UT,44.42857142857143
Vermont,0.0,0.0,2020/1/25,94.0,624636.0,156189.0,44.558803,0.0,1661.5851063829787,6,3,0,91,0,VT,30.8
Virginia,0.0,0.0,2020/1/25,1654.0,8365952.0,1685377.0,37.431573,0.0,1018.9703748488513,11,2,0,87,0,VA,16.714285714285715
Washington,1.0,0.0,2020/1/25,1265.0,7169967.0,1473729.0,47.751074,0.0,1165.003162055336,15,1,0,84,0,WA,26.38095238095238
West Virginia,0.0,0.0,2020/1/25,653.0,1836843.0,469300.0,38.597626,0.0,718.6830015313935,15,3,0,82,0,WV,14.166666666666666
Wisconsin,0.0,0.0,2020/1/25,1159.0,5763217.0,1267239.0,43.78444,0.0,1093.3899913718724,9,1,0,90,0,WI,20.68421052631579
Wyoming,0.0,0.0,2020/1/25,102.0,583200.0,123584.0,43.075968,0.0,1211.6078431372548,10,0,0,90,0,WY,37.875
Alabama,0.0,0.0,2020/1/26,1533.0,4850771.0,1065625.0,32.318231,0.0,695.1239399869537,15,2,0,83,0,AL,23.8
Alaska,0.0,0.0,2020/1/26,119.0,738565.0,117047.0,63.588753,0.0,983.5882352941177,14,2,0,84,0,AK,20.666666666666668
Arizona,1.0,0.0,2020/1/26,1559.0,6809946.0,1502688.0,34.048928,0.0,963.879409878127,7,1,0,92,0,AZ,43.4
Arkansas,0.0,0.0,2020/1/26,732.0,2977944.0,655552.0,35.20105,0.0,895.5628415300547,10,3,0,87,0,AR,22.857142857142858
California,2.0,0.0,2020/1/26,7338.0,3.8982847E7,7292299.0,36.778261,0.0,993.7720087217225,13,2,0,85,0,CA,40.935483870967744
Colorado,0.0,0.0,2020/1/26,1597.0,5436519.0,1031196.0,39.550051,0.0,645.7082028804008,8,2,0,90,0,CO,31.3
Connecticut,0.0,0.0,2020/1/26,674.0,3594478.0,805545.0,41.603221,0.0,1195.1706231454007,14,1,0,85,0,CT,22.166666666666668
Delaware,0.0,0.0,2020/1/26,186.0,943732.0,220732.0,38.910832,0.0,1186.731182795699,14,0,0,86,0,DE,26.5
Florida,0.0,0.0,2020/1/26,5604.0,2.0278447E7,5200132.0,27.664827,0.0,927.9321912919344,11,1,0,88,0,FL,36.3
Georgia,0.0,0.0,2020/1/26,2508.0,1.0201635E7,1863154.0,32.157435,0.0,742.884370015949,12,2,0,86,0,GA,21.785714285714285
Hawaii,0.0,0.0,2020/1/26,201.0,1421658.0,326878.0,19.898682,0.0,1626.2587064676618,11,2,0,87,0,HI,17.0
Idaho,0.0,0.0,2020/1/26,314.0,1657375.0,342148.0,44.068202,0.0,1089.6433121019109,9,3,0,87,1,ID,26.8
Illinois,1.0,0.0,2020/1/26,3144.0,1.2854526E7,2614633.0,40.633125,0.0,831.6262722646311,12,2,0,86,0,IL,35.833333333333336
Indiana,0.0,0.0,2020/1/26,1861.0,6614418.0,1369219.0,40.551217,0.0,735.7436861902203,12,1,0,87,0,IN,29.5
Iowa,0.0,0.0,2020/1/26,545.0,3118102.0,698176.0,41.878003,0.0,1281.056880733945,12,1,0,87,0,IA,46.5
Kansas,0.0,0.0,2020/1/26,767.0,2903820.0,600412.0,39.011902,0.0,782.8057366362451,11,1,0,87,1,KS,51.0
Kentucky,0.0,0.0,2020/1/26,1392.0,4424376.0,947950.0,37.839333,0.0,680.9985632183908,11,2,0,86,1,KY,29.625
Louisiana,0.0,0.0,2020/1/26,1289.0,4663461.0,936828.0,31.244823,0.0,726.7866563227308,11,3,0,86,0,LA,33.42857142857143
Maine,0.0,0.0,2020/1/26,256.0,1330158.0,348777.0,45.253783,0.0,1362.41015625,10,2,0,87,1,ME,11.0
Maryland,0.0,0.0,2020/1/26,1134.0,5996079.0,1211919.0,39.045755,0.0,1068.7116402116403,14,1,0,85,0,MD,32.0
